aor|code|office|state|type|count
NOL|   |Oakdale|LA|Sub Field Office|1
NOL|   |Pearl|MS|Sub Field Office|1
NOL|   |Shreveport|LA|Sub Field Office|1
NOL|   |Texarkana|AR|Sub Field Office|1
NOL|   |Winnfield|LA|Sub Field Office|1
NYC|   |Central Islip|NY|Sub Field Office|1
NYC|   |East Meadow|NY|Sub Field Office|1
NYC|   |New York City|NY|Field Office|1
NYC|   |Newburgh|NY|Sub Field Office|1
NYC|   |Riverhead|NY|Sub Field Office|1
PHI|   |Allenwood|PA|Sub Field Office|1
PHI|   |Berks County|PA|Sub Field Office|1
PHI|   |Charleston|WV|Sub Field Office|1
PHI|   |Dover|DE|Sub Field Office|1
PHI|   |Philadelphia|PA|Field Office|1
PHI|   |Pike County|PA|Sub Field Office|1
PHI|   |Pittsburgh|PA|Sub Field Office|1
PHI|   |York|PA|Sub Field Office|1
PHO|   |Eloy|AZ|1|Sub Field Office|1
PHO|   |Florence|AZ|1|Sub Field Office|1
PHO|   |Phoenix|AZ|1|Field Office|1
PHO|   |Tucson|AZ|1|Sub Field Office|1
PHO|   |Yuma|AZ|1|Sub Field Office|1
SEA|ANC/ANC|Anchorage|AK|Sub Field Office|1
SEA|EUG/POO|Eugene|OR|Sub Field Office|1
SEA|MED/POO|Medford|OR|Sub Field Office|1
SEA|POO/POO|Portland|OR|Sub Field Office|1
SEA|RIC/SEA|Richland|WA|Sub Field Office|1
SEA|SEA/SEA|Seattle|WA|Field Office|1
SEA|SPO/SEA|Spokane|WA|Sub Field Office|1
SEA|TAC/SEA|Tacoma|WA|Sub Field Office|1
SEA|WNT/SEA|Wenatchee|WA|Sub Field Office|1
SEA|YAK/SEA|Yakima|WA|Sub Field Office|1
SFR|   |Bakersfield|CA|Sub Field Office|1
SFR|   |Fresno|CA|Sub Field Office|1
SFR|   |Guam|GU|Sub Field Office|1
SFR|   |Honolulu|HI|Sub Field Office|1
SFR|   |Redding|CA|Sub Field Office|1
SFR|   |Sacramento|CA|Sub Field Office|1
SFR|   |Saipan|Sub Field Office|1
SFR|   |San Francisco|CA|Field Office|1
SFR|   |San Jose|CA|Sub Field Office|1
SFR|   |Stockton|CA|Sub Field Office|1
SLC|   |Billings|MT|1|Sub Field Office|1
SLC|   |Boise|ID|1|Sub Field Office|1
SLC|   |Helena|MT|1|Sub Field Office|1
SLC|   |Idaho Falls|ID|1|Sub Field Office|1
SLC|   |Las Vegas|NV|1|Sub Field Office|1
SLC|   |Ogden|UT|1|Sub Field Office|1
SLC|   |Orem|UT|1|Sub Field Office|1
SLC|   |Reno|NV|1|Sub Field Office|1
SLC|   |Salt Lake City|UT|1|Field Office|1
SLC|   |Shelby|MT|1|Sub Field Office|1
SLC|   |St. George|UT|1|Sub Field Office|1
SLC|   |Twin Falls|ID|1|Sub Field Office|1
SNA|   |Austin|TX|Sub Field Office|1
SNA|   |Del Rio|TX|Sub Field Office|1
SNA|   |Dilley|TX|Sub Field Office|1
SNA|   |Edinberg|TX|Sub Field Office|1
SNA|   |Haringen|TX|Sub Field Office|1
SNA|   |Karnes City|TX|Sub Field Office|1
SNA|   |Laredo|TX|Sub Field Office|2
SNA|   |Los Fresons|TX|Sub Field Office|1
SNA|   |Pearsall|TX|Sub Field Office|1
SNA|   |San Antonio|TX|Field Office|1
SNA|   |Taylor|TX|Sub Field Office|1
SNA|   |Waco|TX|Sub Field Office|1
SND|   |Calexico|CA|Sub Field Office|1
SND|   |El Centro|CA|Sub Field Office|1
SND|   |Otay Mesa|CA|Sub Field Office|1
SND|   |Rancho Bernardo|CA|Sub Field Office|1
SND|   |San Diego|CA|Field Office|1
SPM|   |Cedar Rapids|IA|Sub Field Office|1
SPM|   |Des Moines|IA|Sub Field Office|1
SPM|   |Grand Forks|ND|Sub Field Office|1
SPM|   |Grand Island|NE|Sub Field Office|1
SPM|   |North Platte|NE|Sub Field Office|1
SPM|   |Omaha|NE|Sub Field Office|1
SPM|   |Rapid City|SD|Sub Field Office|1
SPM|   |Sioux City|IA|Sub Field Office|1
SPM|   |St. Paul|MN|Field Office|1
WAS|   |Harrisonburg|VA|Sub Field Office|1
WAS|   |Lorton|VA|Sub Field Office|1
WAS|   |Norfolk|VA|Sub Field Office|1
WAS|   |Richmond|VA|Sub Field Office|1
WAS|   |Roanoke|VA|Sub Field Office|1
WAS|   |Washington|DC|Field Office|1
