aor|total_pop|total_pop_se|total_pop_low|total_pop_upp|forborn_pop|forborn_pop_se|forborn_pop_low|forborn_pop_upp|noncitizen_pop|noncitizen_pop_se|noncitizen_pop_low|noncitizen_pop_upp|undocu_pop|undocu_pop_se|undocu_pop_low|undocu_pop_upp|year
DAL|10949941|4078.310912620567|10941823.32518659|10958058.67481341|1697730|13427.174745641763|1671003.877204741|1724456.122795259|1077564|12539.63196429624|1052604.486920458|1102523.513079542|582968|11089.320391710216|560895.2598950112|605040.7401049888|2016
DEN|4725979|1942.2313585152517|4722113.085184128|4729844.914815872|517821|8820.296165662467|500264.6396427651|535377.3603572348|309876|7789.8165607413375|294370.7579890183|325381.2420109817|147661|5420.354259640231|136872.05472437732|158449.94527562268|2016
DET|16750369|4287.479067004293|16741834.986389725|16758903.013610275|1077153|14829.525987030063|1047635.5668815027|1106670.4331184973|498910|10655.507833979573|477700.7421917466|520119.2578082534|116762|5006.492045334738|106796.826855848|126727.173144152|2016
ELP|2593698|2521.115526904707|2588679.8450694582|2598716.1549305418|450819|8242.689676313188|434412.3366009207|467225.6633990793|256253|7434.971428996887|241454.05955609816|271051.94044390187|109474|4744.64764234395|100030.0151028286|118917.9848971714|2016
HOU|6827132|3474.324819299428|6820216.529433018|6834047.470566982|1677362|15243.810065072315|1647019.9550512687|1707704.0449487313|1025297|16018.44249607308|993413.087766132|1057180.912233868|486417|12404.05110034621|461727.35387961066|511106.64612038934|2016
LOS|14920801|3575.2595570112107|14913684.62386312|14927917.37613688|5559698|23956.760576087912|5512013.260874893|5607382.739125107|2683890|20536.228385465525|2643013.659892816|2724766.340107184|917219|14271.2582223853|888812.7710710047|945625.2289289952|2016
MIA|16469863|3138.644532278225|16463615.68433089|16476110.31566911|4013752|24398.535767541463|3965187.92935219|4062316.07064781|1733625|17974.23181529603|1697848.1865045188|1769401.8134954812|576261|12846.558659812365|550690.5646148428|601831.4353851572|2016
NEW|6962122|1390.9282512049283|6959353.426569974|6964890.573430026|1901308|14667.317968872156|1872113.4338653465|1930502.5661346535|828702|14003.50342057301|800828.7236725622|856575.2763274378|311760|9856.278382330727|292141.56862180313|331378.43137819687|2016
NOL|17026371|5891.339724544834|17014644.581606742|17038097.418393258|795595|10236.866209929678|775219.0275003478|815970.9724996522|487146|9057.559536100218|469117.3787171974|505174.6212828026|250083|6997.77659689133|236154.27410157415|264011.7258984258|2016
NYC|10765578|3310.4240664905756|10758988.765720904|10772167.234279096|3975265|23278.960379492895|3928929.388418699|4021600.611581301|1724850|20507.3194628162|1684031.2016639812|1765668.7983360188|537147|14257.88400850561|508767.3917778332|565526.6082221668|2016
PHI|12321690|3671.50185891278|12314382.058353066|12328997.941646934|912868|14269.080308485198|884466.1061001851|941269.8938998148|413193|10819.327266517084|391657.6677678125|434728.3322321875|129228|6313.930590369204|116660.43552902118|141795.56447097883|2016
