Date,ICE Area of Responsibility,ATD Technology,Family Unit - Individual,Number under ATD,Average Days in Program
07/01/2023,Denver,Veriwatch,All,50,704.5
07/01/2023,Denver,TR,All,89,2195.2
07/01/2023,Detroit,All,All,9922,844.8
07/01/2023,Detroit,GPS,All,61,608.8
07/01/2023,Detroit,SmartLINK,All,9186,732
07/01/2023,Detroit,TR,All,675,2400.5
07/01/2023,El Paso,All,All,3546,344.5
07/01/2023,El Paso,GPS,All,102,196.3
07/01/2023,El Paso,SmartLINK,All,3193,270.4
07/01/2023,El Paso,TR,All,251,1346.2
07/01/2023,Harlingen,All,All,21019,278.5
07/01/2023,Harlingen,GPS,All,114,357.3
07/01/2023,Harlingen,SmartLINK,All,20612,278.6
07/01/2023,Harlingen,No Tech,All,287,236.5
07/01/2023,Harlingen,TR,All,6,524
07/01/2023,Houston,All,All,3198,363.6
07/01/2023,Houston,GPS,All,308,498.2
07/01/2023,Houston,SmartLINK,All,2885,348.3
07/01/2023,Houston,No Tech,All,1,179
07/01/2023,Houston,TR,All,4,1076.8
07/01/2023,Los Angeles,All,All,11426,535.7
07/01/2023,Los Angeles,GPS,All,455,380.2
07/01/2023,Los Angeles,SmartLINK,All,9693,396.2
07/01/2023,Los Angeles,No Tech,All,9,224.2
07/01/2023,Los Angeles,TR,All,1269,1659.3
07/01/2023,Miami,All,All,17884,414.5
07/01/2023,Miami,GPS,All,419,374.9
07/01/2023,Miami,SmartLINK,All,17442,414.5
07/01/2023,Miami,No Tech,All,2,593
07/01/2023,Miami,TR,All,21,1204.1
07/01/2023,New Orleans,All,All,4747,588.7
07/01/2023,New Orleans,GPS,All,89,422.2
07/01/2023,New Orleans,SmartLINK,All,4596,577.7
07/01/2023,New Orleans,No Tech,All,1,672
07/01/2023,New Orleans,TR,All,61,1661
07/01/2023,New York,All,All,9388,509.1
07/01/2023,New York,GPS,All,310,567.6
07/01/2023,New York,SmartLINK,All,8870,471.8
07/01/2023,New York,No Tech,All,2,392.5
07/01/2023,New York,TR,All,206,2029
07/01/2023,Newark,All,All,14589,785.4
07/01/2023,Newark,GPS,All,221,395
07/01/2023,Newark,SmartLINK,All,13024,629.3
07/01/2023,Newark,No Tech,All,8,1117.8
07/01/2023,Newark,TR,All,1336,2369.7
07/01/2023,Philadelphia,All,All,9692,438.5
07/01/2023,Philadelphia,GPS,All,21,389
07/01/2023,Philadelphia,SmartLINK,All,9646,435.5
07/01/2023,Philadelphia,TR,All,25,1637.5
07/01/2023,Phoenix,All,All,7869,189.3
07/01/2023,Phoenix,GPS,All,116,276.5
07/01/2023,Phoenix,SmartLINK,All,7678,187.8
07/01/2023,Phoenix,No Tech,All,75,216.5
07/01/2023,Salt Lake City,All,All,7557,572.2
07/01/2023,Salt Lake City,GPS,All,69,675.1
07/01/2023,Salt Lake City,SmartLINK,All,7372,549.2
07/01/2023,Salt Lake City,TR,All,116,1974.9
07/01/2023,San Antonio,All,All,13894,227.7
07/01/2023,San Antonio,GPS,All,91,173.1
07/01/2023,San Antonio,SmartLINK,All,13354,224.8
07/01/2023,San Antonio,No Tech,All,342,246.4
07/01/2023,San Antonio,TR,All,107,570.8
07/01/2023,San Diego,All,All,6169,357.7
07/01/2023,San Diego,GPS,All,155,873.1
07/01/2023,San Diego,SmartLINK,All,5883,308.5
07/01/2023,San Diego,No Tech,All,21,1016.2
07/01/2023,San Diego,TR,All,110,2135.3
07/01/2023,San Francisco,All,All,19188,762.5
07/01/2023,San Francisco,GPS,All,681,473.2
07/01/2023,San Francisco,SmartLINK,All,15919,557.9
07/01/2023,San Francisco,No Tech,All,4,238.3
07/01/2023,San Francisco,TR,All,2584,2100.4
07/01/2023,Seattle,All,All,7036,716.1
07/01/2023,Seattle,GPS,All,119,217.3
07/01/2023,Seattle,SmartLINK,All,6498,628.7
07/01/2023,Seattle,No Tech,All,8,763.9
07/01/2023,Seattle,TR,All,411,2242
07/01/2023,St Paul,All,All,3265,961.2
07/01/2023,St Paul,GPS,All,85,841.1
07/01/2023,St Paul,SmartLINK,All,2904,824.7
07/01/2023,St Paul,No Tech,All,1,371
07/01/2023,St Paul,TR,All,275,2441.3
07/01/2023,Washington DC,All,All,4420,559.7
07/01/2023,Washington DC,GPS,All,317,500.9
07/01/2023,Washington DC,SmartLINK,All,4081,559.8
07/01/2023,Washington DC,No Tech,All,5,959.2
07/01/2023,Washington DC,TR,All,17,1514.3
06/17/2023,,Total,All,215967,516
06/17/2023,Atlanta,All,All,5122,633.5
06/17/2023,Atlanta,GPS,All,280,566.8
06/17/2023,Atlanta,SmartLINK,All,4510,535.2
06/17/2023,Atlanta,No Tech,All,1,660
06/17/2023,Atlanta,TR,All,331,2030.1
06/17/2023,Baltimore,All,All,3501,650.3
06/17/2023,Baltimore,GPS,All,65,425.7
06/17/2023,Baltimore,SmartLINK,All,3352,629.9
06/17/2023,Baltimore,TR,All,84,1635
06/17/2023,Boston,All,All,7512,406.4
06/17/2023,Boston,GPS,All,90,304.1
06/17/2023,Boston,SmartLINK,All,7419,407.4
06/17/2023,Boston,TR,All,3,1096.3
06/17/2023,Buffalo,All,All,621,887.5
06/17/2023,Buffalo,GPS,All,8,658.8
06/17/2023,Buffalo,SmartLINK,All,332,280.3
06/17/2023,Buffalo,TR,All,281,1611.4
06/17/2023,Chicago,All,All,13811,663.2
06/17/2023,Chicago,GPS,All,218,551.4
06/17/2023,Chicago,SmartLINK,All,12762,564.9
06/17/2023,Chicago,No Tech,All,2,122
06/17/2023,Chicago,TR,All,829,2207.1
06/17/2023,Dallas,All,All,1706,611.5
06/17/2023,Dallas,GPS,All,78,317.7
06/17/2023,Dallas,SmartLINK,All,1623,623.2
06/17/2023,Dallas,TR,All,5,1387.8
06/17/2023,Denver,All,All,2841,514.7
06/17/2023,Denver,GPS,All,17,298
06/17/2023,Denver,SmartLINK,All,2683,457.4
06/17/2023,Denver,No Tech,All,1,567
06/17/2023,Denver,Veriwatch,All,50,693.5
06/17/2023,Denver,TR,All,90,2163.5
06/17/2023,Detroit,All,All,9795,850
06/17/2023,Detroit,GPS,All,56,603.4
06/17/2023,Detroit,SmartLINK,All,9057,735.7
06/17/2023,Detroit,TR,All,682,2387.6
06/17/2023,El Paso,All,All,3988,318.2
06/17/2023,El Paso,GPS,All,96,221.6
06/17/2023,El Paso,SmartLINK,All,3632,247.3
06/17/2023,El Paso,TR,All,260,1343.4
06/17/2023,Harlingen,All,All,23316,257.3
06/17/2023,Harlingen,GPS,All,115,372.8
06/17/2023,Harlingen,SmartLINK,All,22560,257.3
06/17/2023,Harlingen,No Tech,All,635,235.3
06/17/2023,Harlingen,TR,All,6,510
06/17/2023,Houston,All,All,3162,359.9
06/17/2023,Houston,GPS,All,314,494.9
06/17/2023,Houston,SmartLINK,All,2842,344.1
06/17/2023,Houston,No Tech,All,2,215.5
06/17/2023,Houston,TR,All,4,1062.8
06/17/2023,Los Angeles,All,All,11515,536.5
06/17/2023,Los Angeles,GPS,All,445,387.3
06/17/2023,Los Angeles,SmartLINK,All,9724,392
06/17/2023,Los Angeles,No Tech,All,8,334.5
06/17/2023,Los Angeles,TR,All,1338,1636.9
06/17/2023,Miami,All,All,19190,406.1
06/17/2023,Miami,GPS,All,439,365.6
06/17/2023,Miami,SmartLINK,All,18729,406.1
06/17/2023,Miami,No Tech,All,1,1136
06/17/2023,Miami,TR,All,21,1190.1
06/17/2023,New Orleans,All,All,4736,586.6
06/17/2023,New Orleans,GPS,All,89,442.6
06/17/2023,New Orleans,SmartLINK,All,4576,572
06/17/2023,New Orleans,No Tech,All,1,658
06/17/2023,New Orleans,TR,All,70,1725.2
06/17/2023,New York,All,All,9549,501.1
06/17/2023,New York,GPS,All,315,574.5
06/17/2023,New York,SmartLINK,All,9022,464.2
06/17/2023,New York,No Tech,All,5,229.4
06/17/2023,New York,TR,All,207,2002.6
06/17/2023,Newark,All,All,14614,776.1
06/17/2023,Newark,GPS,All,200,432
06/17/2023,Newark,SmartLINK,All,13055,617.8
06/17/2023,Newark,No Tech,All,8,1103.8
06/17/2023,Newark,TR,All,1351,2354.8
06/17/2023,Philadelphia,All,All,9811,430.9
06/17/2023,Philadelphia,GPS,All,19,419.3
06/17/2023,Philadelphia,SmartLINK,All,9767,427.9
06/17/2023,Philadelphia,TR,All,25,1623.5
06/17/2023,Phoenix,All,All,8175,186.4
06/17/2023,Phoenix,GPS,All,81,376.8
06/17/2023,Phoenix,SmartLINK,All,8009,184.4
06/17/2023,Phoenix,No Tech,All,85,198.9
06/17/2023,Salt Lake City,All,All,7620,561.7
06/17/2023,Salt Lake City,GPS,All,61,680.2
06/17/2023,Salt Lake City,SmartLINK,All,7438,538
06/17/2023,Salt Lake City,TR,All,121,1955.6
06/17/2023,San Antonio,All,All,15087,216.1
06/17/2023,San Antonio,GPS,All,74,224.3
06/17/2023,San Antonio,SmartLINK,All,14268,212.3
06/17/2023,San Antonio,No Tech,All,631,237.3
06/17/2023,San Antonio,TR,All,114,562.5
06/17/2023,San Diego,All,All,6057,374
06/17/2023,San Diego,GPS,All,143,907.7
06/17/2023,San Diego,SmartLINK,All,5780,324.5
06/17/2023,San Diego,No Tech,All,24,1091.6
06/17/2023,San Diego,TR,All,110,2121.3
06/17/2023,San Francisco,All,All,19351,763.9
06/17/2023,San Francisco,GPS,All,687,472.9
06/17/2023,San Francisco,SmartLINK,All,15951,552
06/17/2023,San Francisco,No Tech,All,3,96.3
06/17/2023,San Francisco,TR,All,2710,2086.1
06/17/2023,Seattle,All,All,7055,706.9
06/17/2023,Seattle,GPS,All,117,251.7
06/17/2023,Seattle,SmartLINK,All,6515,618.3
06/17/2023,Seattle,No Tech,All,8,749.9
06/17/2023,Seattle,TR,All,415,2224.4
06/17/2023,St Paul,All,All,3278,956.9
06/17/2023,St Paul,GPS,All,90,853.3
06/17/2023,St Paul,SmartLINK,All,2909,819.9
06/17/2023,St Paul,No Tech,All,1,357
06/17/2023,St Paul,TR,All,278,2426.8
06/17/2023,Washington DC,All,All,4554,566.9
06/17/2023,Washington DC,GPS,All,310,511.3
06/17/2023,Washington DC,SmartLINK,All,4222,566.7
06/17/2023,Washington DC,No Tech,All,5,945.2
06/17/2023,Washington DC,TR,All,17,1500.3
06/03/2023,,Total,All,224725,499
06/03/2023,Atlanta,All,All,5093,634
06/03/2023,Atlanta,GPS,All,289,566.1
06/03/2023,Atlanta,SmartLINK,All,4465,533.8
06/03/2023,Atlanta,TR,All,339,2012.1
06/03/2023,Baltimore,All,All,3483,648.1
06/03/2023,Baltimore,GPS,All,60,446.6
06/03/2023,Baltimore,SmartLINK,All,3330,624.6
06/03/2023,Baltimore,TR,All,93,1622
06/03/2023,Boston,All,All,8609,369.8
06/03/2023,Boston,GPS,All,85,304.7
06/03/2023,Boston,SmartLINK,All,8521,370.2
06/03/2023,Boston,TR,All,3,1082.3
06/03/2023,Buffalo,All,All,629,865.9
06/03/2023,Buffalo,GPS,All,10,609.8
06/03/2023,Buffalo,SmartLINK,All,337,265.9
06/03/2023,Buffalo,No Tech,All,1,73
06/03/2023,Buffalo,TR,All,281,1597.4
06/03/2023,Chicago,All,All,13908,655
06/03/2023,Chicago,GPS,All,220,548.9
06/03/2023,Chicago,SmartLINK,All,12832,554.6
06/03/2023,Chicago,No Tech,All,1,90
06/03/2023,Chicago,TR,All,855,2190.1
06/03/2023,Dallas,All,All,1719,601.2
06/03/2023,Dallas,GPS,All,74,330.1
06/03/2023,Dallas,SmartLINK,All,1640,611.1
06/03/2023,Dallas,TR,All,5,1373.8
06/03/2023,Denver,All,All,2812,512.3
06/03/2023,Denver,GPS,All,19,300.8
06/03/2023,Denver,SmartLINK,All,2652,453.4
06/03/2023,Denver,No Tech,All,3,438
06/03/2023,Denver,Veriwatch,All,48,785.3
06/03/2023,Denver,TR,All,90,2149.5
06/03/2023,Detroit,All,All,9765,851.5
06/03/2023,Detroit,GPS,All,56,678.6
06/03/2023,Detroit,SmartLINK,All,9018,736.3
06/03/2023,Detroit,TR,All,691,2369.9
06/03/2023,El Paso,All,All,4881,289.7
06/03/2023,El Paso,GPS,All,86,255.5
06/03/2023,El Paso,SmartLINK,All,4495,219.2
06/03/2023,El Paso,TR,All,300,1356.8
06/03/2023,Harlingen,All,All,27017,234.8
06/03/2023,Harlingen,GPS,All,130,331
06/03/2023,Harlingen,SmartLINK,All,26031,234.8
06/03/2023,Harlingen,No Tech,All,850,217.9
06/03/2023,Harlingen,TR,All,6,496
06/03/2023,Houston,All,All,3102,352.4
06/03/2023,Houston,GPS,All,327,484.9
06/03/2023,Houston,SmartLINK,All,2769,335.9
06/03/2023,Houston,No Tech,All,2,138
06/03/2023,Houston,TR,All,4,1048.8
06/03/2023,Los Angeles,All,All,11621,534.5
06/03/2023,Los Angeles,GPS,All,430,407.6
06/03/2023,Los Angeles,SmartLINK,All,9789,383.5
06/03/2023,Los Angeles,No Tech,All,1,642
06/03/2023,Los Angeles,TR,All,1401,1628.7
06/03/2023,Miami,All,All,19617,398.5
06/03/2023,Miami,GPS,All,465,361.8
06/03/2023,Miami,SmartLINK,All,19128,398.5
06/03/2023,Miami,No Tech,All,2,585
06/03/2023,Miami,TR,All,22,1208.1
06/03/2023,New Orleans,All,All,4771,583.3
06/03/2023,New Orleans,GPS,All,89,416.2
06/03/2023,New Orleans,SmartLINK,All,4603,569.1
06/03/2023,New Orleans,TR,All,79,1601.5
06/03/2023,New York,All,All,9578,496.7
06/03/2023,New York,GPS,All,327,567.4
06/03/2023,New York,SmartLINK,All,9029,457.7
06/03/2023,New York,No Tech,All,3,262.3
06/03/2023,New York,TR,All,219,1999.2
06/03/2023,Newark,All,All,14641,766.8
06/03/2023,Newark,GPS,All,178,467
06/03/2023,Newark,SmartLINK,All,13089,606.8
06/03/2023,Newark,No Tech,All,12,964.8
06/03/2023,Newark,TR,All,1362,2342
06/03/2023,Philadelphia,All,All,9747,425.6
06/03/2023,Philadelphia,GPS,All,18,421.4
06/03/2023,Philadelphia,SmartLINK,All,9703,422.5
06/03/2023,Philadelphia,TR,All,26,1574.6
06/03/2023,Phoenix,All,All,8530,185.8
06/03/2023,Phoenix,GPS,All,83,427.5
06/03/2023,Phoenix,SmartLINK,All,8359,183.5
06/03/2023,Phoenix,No Tech,All,88,182.9
06/03/2023,Salt Lake City,All,All,7659,552.9
06/03/2023,Salt Lake City,GPS,All,65,633.3
06/03/2023,Salt Lake City,SmartLINK,All,7472,529.4
06/03/2023,Salt Lake City,TR,All,122,1946
06/03/2023,San Antonio,All,All,16504,203.5
06/03/2023,San Antonio,GPS,All,79,211.8
06/03/2023,San Antonio,SmartLINK,All,15390,198.9
06/03/2023,San Antonio,No Tech,All,876,219
06/03/2023,San Antonio,TR,All,159,552.2
06/03/2023,San Diego,All,All,6485,358.2
06/03/2023,San Diego,GPS,All,137,968.1
06/03/2023,San Diego,SmartLINK,All,6212,310.6
06/03/2023,San Diego,No Tech,All,25,1100
06/03/2023,San Diego,TR,All,111,2103.1
06/03/2023,San Francisco,All,All,19576,767.4
06/03/2023,San Francisco,GPS,All,698,465.3
06/03/2023,San Francisco,SmartLINK,All,16029,549.3
06/03/2023,San Francisco,No Tech,All,3,86.7
06/03/2023,San Francisco,TR,All,2846,2070.7
06/03/2023,Seattle,All,All,7033,704.6
06/03/2023,Seattle,GPS,All,112,249.3
06/03/2023,Seattle,SmartLINK,All,6489,613.7
06/03/2023,Seattle,No Tech,All,7,874.4
06/03/2023,Seattle,TR,All,425,2209.3
06/03/2023,St Paul,All,All,3304,942.8
06/03/2023,St Paul,GPS,All,81,740.5
06/03/2023,St Paul,SmartLINK,All,2918,794.7
06/03/2023,St Paul,TR,All,305,2413
06/03/2023,Washington DC,All,All,4641,566.5
06/03/2023,Washington DC,GPS,All,302,521.8
06/03/2023,Washington DC,SmartLINK,All,4318,565.4
06/03/2023,Washington DC,No Tech,All,3,1142
06/03/2023,Washington DC,TR,All,18,1496.1
05/20/2023,,Total,All,235890,483
05/20/2023,Atlanta,All,All,5075,628.9
05/20/2023,Atlanta,GPS,All,286,548.1
05/20/2023,Atlanta,SmartLINK,All,4442,527.8
05/20/2023,Atlanta,TR,All,347,1990.2
05/20/2023,Baltimore,All,All,3534,640.5
05/20/2023,Baltimore,GPS,All,60,436.6
05/20/2023,Baltimore,SmartLINK,All,3371,614.7
05/20/2023,Baltimore,TR,All,103,1603
05/20/2023,Boston,All,All,9546,342.8
05/20/2023,Boston,GPS,All,79,315.7
05/20/2023,Boston,SmartLINK,All,9464,342.8
05/20/2023,Boston,TR,All,3,1068.3
05/20/2023,Buffalo,All,All,622,866.7
05/20/2023,Buffalo,GPS,All,9,663.1
05/20/2023,Buffalo,SmartLINK,All,328,259.8
05/20/2023,Buffalo,TR,All,285,1571.5
05/20/2023,Chicago,All,All,13978,648.1
05/20/2023,Chicago,GPS,All,221,524.3
05/20/2023,Chicago,SmartLINK,All,12864,544.5
05/20/2023,Chicago,TR,All,892,2173.7
05/20/2023,Chicago,No Tech,All,1,66
05/20/2023,Dallas,All,All,1807,595.3
05/20/2023,Dallas,GPS,All,77,336.5
05/20/2023,Dallas,SmartLINK,All,1723,603.9
05/20/2023,Dallas,TR,All,7,1324.7
05/20/2023,Denver,All,All,2817,505.7
05/20/2023,Denver,GPS,All,21,279
05/20/2023,Denver,SmartLINK,All,2652,448.9
05/20/2023,Denver,TR,All,91,2133.1
05/20/2023,Denver,VeriWatch,All,50,664
05/20/2023,Denver,No Tech,All,3,319.3
05/20/2023,Detroit,All,All,9728,848.4
05/20/2023,Detroit,GPS,All,60,598.7
05/20/2023,Detroit,SmartLINK,All,8965,732.5
05/20/2023,Detroit,TR,All,701,2353.7
05/20/2023,Detroit,No Tech,All,2,43
05/20/2023,El Paso,All,All,6042,263.8
05/20/2023,El Paso,GPS,All,71,372.9
05/20/2023,El Paso,SmartLINK,All,5663,203.7
05/20/2023,El Paso,TR,All,308,1343.1
05/20/2023,Harlingen,All,All,29716,218.2
05/20/2023,Harlingen,GPS,All,147,356.8
05/20/2023,Harlingen,SmartLINK,All,28605,217.9
05/20/2023,Harlingen,TR,All,8,522.3
05/20/2023,Harlingen,No Tech,All,956,203
05/20/2023,Houston,All,All,3094,344.1
05/20/2023,Houston,GPS,All,327,479.5
05/20/2023,Houston,SmartLINK,All,2762,327.2
05/20/2023,Houston,TR,All,4,1034.8
05/20/2023,Houston,No Tech,All,1,167
05/20/2023,Los Angeles,All,All,11766,531.4
05/20/2023,Los Angeles,GPS,All,420,410.9
05/20/2023,Los Angeles,SmartLINK,All,9884,375.7
05/20/2023,Los Angeles,TR,All,1460,1620.5
05/20/2023,Los Angeles,No Tech,All,2,372.5
05/20/2023,Miami,All,All,22980,389
05/20/2023,Miami,GPS,All,485,361.8
05/20/2023,Miami,SmartLINK,All,22472,388.8
05/20/2023,Miami,TR,All,22,1194.1
05/20/2023,Miami,No Tech,All,1,1108
05/20/2023,New Orleans,All,All,4776,577.3
05/20/2023,New Orleans,GPS,All,89,433.3
05/20/2023,New Orleans,SmartLINK,All,4602,561.4
05/20/2023,New Orleans,TR,All,84,1607.1
05/20/2023,New Orleans,No Tech,All,1,156
05/20/2023,New York,All,All,9933,488.8
05/20/2023,New York,GPS,All,339,553.6
05/20/2023,New York,SmartLINK,All,9368,451
05/20/2023,New York,TR,All,223,1977.3
05/20/2023,New York,No Tech,All,3,381.7
05/20/2023,Newark,All,All,14738,758.9
05/20/2023,Newark,GPS,All,175,485.7
05/20/2023,Newark,SmartLINK,All,13167,597.2
05/20/2023,Newark,TR,All,1383,2330.1
05/20/2023,Newark,No Tech,All,13,1020.5
05/20/2023,Philadelphia,All,All,9770,416.6
05/20/2023,Philadelphia,GPS,All,17,439.4
05/20/2023,Philadelphia,SmartLINK,All,9725,413.2
05/20/2023,Philadelphia,TR,All,27,1556.4
05/20/2023,Philadelphia,No Tech,All,1,1447
05/20/2023,Phoenix,All,All,8743,185.7
05/20/2023,Phoenix,GPS,All,88,410.5
05/20/2023,Phoenix,SmartLINK,All,8548,183.6
05/20/2023,Phoenix,No Tech,All,107,172.4
05/20/2023,Salt Lake City,All,All,7723,541.8
05/20/2023,Salt Lake City,GPS,All,66,656.1
05/20/2023,Salt Lake City,SmartLINK,All,7532,518.2
05/20/2023,Salt Lake City,TR,All,124,1916.2
05/20/2023,Salt Lake City,No Tech,All,1,72
05/20/2023,San Antonio,All,All,17672,205.9
05/20/2023,San Antonio,GPS,All,94,224.6
05/20/2023,San Antonio,SmartLINK,All,16326,202.4
05/20/2023,San Antonio,TR,All,177,533.1
05/20/2023,San Antonio,No Tech,All,1075,203.7
05/20/2023,San Diego,All,All,7075,335.6
05/20/2023,San Diego,GPS,All,136,1004.8
05/20/2023,San Diego,SmartLINK,All,6710,291.4
05/20/2023,San Diego,TR,All,115,2079.4
05/20/2023,San Diego,No Tech,All,114,375.2
05/20/2023,San Francisco,All,All,19647,772.1
05/20/2023,San Francisco,GPS,All,688,464.7
05/20/2023,San Francisco,SmartLINK,All,16003,547.9
05/20/2023,San Francisco,TR,All,2954,2058.8
05/20/2023,San Francisco,No Tech,All,2,132
05/20/2023,Seattle,All,All,7037,697.1
05/20/2023,Seattle,GPS,All,118,217.3
05/20/2023,Seattle,SmartLINK,All,6481,606.1
05/20/2023,Seattle,TR,All,432,2190.6
05/20/2023,Seattle,No Tech,All,6,934.3
05/20/2023,St Paul,All,All,3353,926.3
05/20/2023,St Paul,GPS,All,84,758.4
05/20/2023,St Paul,SmartLINK,All,2950,772.8
05/20/2023,St Paul,TR,All,319,2390.2
05/20/2023,Washington DC,All,All,4718,562.6
05/20/2023,Washington DC,GPS,All,292,525.9
05/20/2023,Washington DC,SmartLINK,All,4404,560.4
05/20/2023,Washington DC,TR,All,20,1484.9
05/20/2023,Washington DC,No Tech,All,2,1670
05/06/2023,,Total,All,242418,471.4
05/06/2023,Atlanta,All,All,5086,622.8
05/06/2023,Atlanta,GPS,All,298,540.4
05/06/2023,Atlanta,SmartLINK,All,4435,521.3
05/06/2023,Atlanta,TR,All,353,1967.1
05/06/2023,Baltimore,All,All,3563,637.9
05/06/2023,Baltimore,GPS,All,62,435.5
05/06/2023,Baltimore,SmartLINK,All,3376,604.8
05/06/2023,Baltimore,TR,All,125,1631.3
05/06/2023,Boston,All,All,9957,331.2
05/06/2023,Boston,GPS,All,81,293.3
05/06/2023,Boston,SmartLINK,All,9871,331.4
05/06/2023,Boston,TR,All,3,1054.3
05/06/2023,Boston,No Tech,All,2,54.5
05/06/2023,Buffalo,All,All,620,866.2
05/06/2023,Buffalo,GPS,All,9,652.8
05/06/2023,Buffalo,SmartLINK,All,322,258.9
05/06/2023,Buffalo,TR,All,289,1549.6
05/06/2023,Chicago,All,All,14088,640.8
05/06/2023,Chicago,GPS,All,225,540.7
05/06/2023,Chicago,SmartLINK,All,12932,534.6
05/06/2023,Chicago,TR,All,929,2144
05/06/2023,Chicago,No Tech,All,2,76
05/06/2023,Dallas,All,All,1819,589.8
05/06/2023,Dallas,GPS,All,79,337.8
05/06/2023,Dallas,SmartLINK,All,1733,598.4
05/06/2023,Dallas,TR,All,7,1310.7
05/06/2023,Denver,All,All,2800,505.2
05/06/2023,Denver,GPS,All,71,667.1
05/06/2023,Denver,SmartLINK,All,2632,443
05/06/2023,Denver,TR,All,94,2133.3
05/06/2023,Denver,No Tech,All,3,204
05/06/2023,Detroit,All,All,9701,844.4
05/06/2023,Detroit,GPS,All,61,610.4
05/06/2023,Detroit,SmartLINK,All,8935,728.2
05/06/2023,Detroit,TR,All,705,2337.8
05/06/2023,El Paso,All,All,6824,242.9
05/06/2023,El Paso,GPS,All,79,406.8
05/06/2023,El Paso,SmartLINK,All,6424,187.1
05/06/2023,El Paso,TR,All,320,1323.6
05/06/2023,El Paso,No Tech,All,1,59
05/06/2023,Harlingen,All,All,31740,213.1
05/06/2023,Harlingen,GPS,All,151,351.3
05/06/2023,Harlingen,SmartLINK,All,30392,213.4
05/06/2023,Harlingen,TR,All,8,508.3
05/06/2023,Harlingen,No Tech,All,1189,186.2
05/06/2023,Houston,All,All,3177,334.8
05/06/2023,Houston,GPS,All,326,474.2
05/06/2023,Houston,SmartLINK,All,2846,318
05/06/2023,Houston,TR,All,4,1020.8
05/06/2023,Houston,No Tech,All,1,154
05/06/2023,Los Angeles,All,All,12094,530
05/06/2023,Los Angeles,GPS,All,430,434.9
05/06/2023,Los Angeles,SmartLINK,All,10077,365
05/06/2023,Los Angeles,TR,All,1583,1606.9
05/06/2023,Los Angeles,No Tech,All,4,156.3
05/06/2023,Miami,All,All,21746,381.7
05/06/2023,Miami,GPS,All,491,356.3
05/06/2023,Miami,SmartLINK,All,21232,381.4
05/06/2023,Miami,TR,All,22,1180.1
05/06/2023,Miami,No Tech,All,1,1094
05/06/2023,New Orleans,All,All,4783,570.1
05/06/2023,New Orleans,GPS,All,102,411.6
05/06/2023,New Orleans,SmartLINK,All,4591,553.4
05/06/2023,New Orleans,TR,All,90,1598.7
05/06/2023,New York,All,All,10164,482.3
05/06/2023,New York,GPS,All,345,544.1
05/06/2023,New York,SmartLINK,All,9589,445.3
05/06/2023,New York,TR,All,226,1962.9
05/06/2023,New York,No Tech,All,4,284.8
05/06/2023,Newark,All,All,14833,751.1
05/06/2023,Newark,GPS,All,176,481.9
05/06/2023,Newark,SmartLINK,All,13252,590.2
05/06/2023,Newark,TR,All,1390,2317.3
05/06/2023,Newark,No Tech,All,15,921.6
05/06/2023,Philadelphia,All,All,9832,410
05/06/2023,Philadelphia,GPS,All,20,384.1
05/06/2023,Philadelphia,SmartLINK,All,9783,406.7
05/06/2023,Philadelphia,TR,All,27,1542.4
05/06/2023,Philadelphia,No Tech,All,2,1419
05/06/2023,Phoenix,All,All,10524,191.2
05/06/2023,Phoenix,GPS,All,107,414.2
05/06/2023,Phoenix,SmartLINK,All,9992,190.5
05/06/2023,Phoenix,No Tech,All,425,151.6
05/06/2023,Salt Lake City,All,All,8087,525.8
05/06/2023,Salt Lake City,GPS,All,63,702.7
05/06/2023,Salt Lake City,SmartLINK,All,7896,502.5
05/06/2023,Salt Lake City,TR,All,127,1890.4
05/06/2023,Salt Lake City,No Tech,All,1,13
05/06/2023,San Antonio,All,All,18013,205.5
05/06/2023,San Antonio,GPS,All,103,198.4
05/06/2023,San Antonio,SmartLINK,All,16447,203.4
05/06/2023,San Antonio,TR,All,197,517.8
05/06/2023,San Antonio,No Tech,All,1266,184.6
05/06/2023,San Diego,All,All,8018,302.8
05/06/2023,San Diego,GPS,All,141,1022.4
05/06/2023,San Diego,SmartLINK,All,7617,260.1
05/06/2023,San Diego,TR,All,124,2071.8
05/06/2023,San Diego,No Tech,All,136,334.6
05/06/2023,San Francisco,All,All,19665,776.1
05/06/2023,San Francisco,GPS,All,678,472.4
05/06/2023,San Francisco,SmartLINK,All,15923,545
05/06/2023,San Francisco,TR,All,3061,2046.2
05/06/2023,San Francisco,No Tech,All,3,234.3
05/06/2023,Seattle,All,All,7064,690.2
05/06/2023,Seattle,GPS,All,112,208.7
05/06/2023,Seattle,SmartLINK,All,6501,595.8
05/06/2023,Seattle,TR,All,445,2184.3
05/06/2023,Seattle,No Tech,All,6,1180.8
05/06/2023,St Paul,All,All,3474,900
05/06/2023,St Paul,GPS,All,85,642.4
05/06/2023,St Paul,SmartLINK,All,3062,749.7
05/06/2023,St Paul,TR,All,327,2374.5
05/06/2023,Washington DC,All,All,4746,556.8
05/06/2023,Washington DC,GPS,All,281,535.5
05/06/2023,Washington DC,SmartLINK,All,4440,553.5
05/06/2023,Washington DC,TR,All,21,1468.9
05/06/2023,Washington DC,No Tech,All,4,900.3
04/22/2023,,Total,All,253146,460
04/22/2023,Atlanta,All,All,5082,616.5
04/22/2023,Atlanta,GPS,All,308,520.8
