detention_facility,state,correct
ADAMS COUNTY,NA,NA
ANCHORAGE JAIL,NA,NA
BELLINGHAM BPS ERO HOLDROOM,NA,NA
CHELAN CO. REGIONAL JAIL,NA,NA
COLUMBIA COUNTY JAIL,NA,NA
"COOK INLET PRETRIAL, ANCH",NA,NA
COWLITZ CO. JUV. DET.,NA,NA
DOUGLAS CO. JAIL,NA,NA
ECONOLODGE MOTEL,NA,NA
EUGENE HOLDROOM,NA,NA
FAIRBANKS CORR CTR,NA,NA
HIGHLAND MTN COR CTR,NA,NA
JACKSON CO JAIL,NA,NA
JOSEPHINE CO. JAIL,NA,NA
KETCHIKAN REGIONAL CC,NA,NA
KITTITAS COUNTY JAIL,NA,NA
KLAMATH CO JAIL,NA,NA
KODIAK CITY JAIL,NA,NA
"LEMON CREEK, JUNEAU,AK",NA,NA
LINN CO JAIL,NA,NA
MARION CO JAIL,NA,NA
MEDFORD SUB-OFFICE,NA,NA
NORTHERN OREGON CORR.FAC.,NA,NA
NORTHERN OREGON JUV.DET.,NA,NA
NORTHWEST DET. CENTER,NA,NA
OKANOGAN CO. JAIL,NA,NA
PALMER CORRECTIONAL CENTE,NA,NA
PORTLAND DISTRICT OFFICE,NA,NA
RED ROOF INN,NA,NA
SEATAC FED.DET.CENTER,NA,NA
SEATTLE FIELD OFFICE HOLD ROOM,NA,NA
"SITKA CITY JAIL, SITKA AK",NA,NA
SPRINGFIELD CITY JAIL,NA,NA
STEVENS COUNTY JAIL,NA,NA
SUNNYSIDE JAIL,NA,NA
TACOMA ICE PROCESSING CENTER,NA,NA
UMATILLA CO JAIL,NA,NA
WILDWOOD PRE-TRIAL FAC.,NA,NA
WILDWOOD STATE CORR. CTR.,NA,NA
YAKIMA COUNTY,NA,NA
YAKIMA SUB-OFFICE,NA,NA
