apprehension_landmark,state,correct
"ABERDEEN CITY JAIL, WA",NA,NA
ADAMS CO. JAIL,NA,NA
ADAMS COUNTY CORRECTIONAL CENTER,NA,NA
"ADELANTO, CA ICE FACILITY",NA,NA
AIRWAY HEIGHTS,NA,NA
AK PROBATION ANCHORAGE,NA,NA
"ANC GENERAL AREA, NON-SPECIFIC",NA,NA
ANCHORAGE CAP,NA,NA
ANCHORAGE CORRECTIONAL COMPLEX,NA,NA
ANCHORAGE DETAINED DOCKET ARREST,NA,NA
ANCHORAGE ERO OFFICE,NA,NA
ANCHORAGE FUGITIVE OPERATIONS STREET ARREST,NA,NA
ANCHORAGE NON-DETAINED ARREST,NA,NA
ANCHORAGE NON-DETAINED DOCKET,NA,NA
ASOTIN CO. JAIL,NA,NA
"ATL GENERAL AREA, NON-SPECIFIC",NA,NA
"ATLANTA, GA",NA,NA
AUBURN CITY JAIL,NA,NA
BENEWAH CO. JAIL,NA,NA
BENTON CO. JAIL,NA,NA
BENTON COUNTY JAIL,NA,NA
"BKI GENERAL AREA, NON-SPECIFIC",NA,NA
"BLA GENERAL AREA, NON-SPECIFIC",NA,NA
"BLH GENERAL AREA, NON-SPECIFIC",NA,NA
BONNERS FERRY CO. JAIL,NA,NA
BOTHELL CITY JAIL,NA,NA
BREMERTON CITY JAIL,NA,NA
BUCKLEY CITY JAIL,NA,NA
CEDAR CREEK CORRECTIONS,NA,NA
"CHE GENERAL AREA, NON-SPECIFIC",NA,NA
CHELAN CO. JAIL,NA,NA
"CIBOLA COUNTY CORRECTION AL CENTER, MILAN FEDERAL FACILTIY",NA,NA
CITY OF GRAND JUNCTION,NA,NA
CLACKAMAS COUNTY JAIL,NA,NA
CLALLAM BAY CORRECTIONS,NA,NA
CLALLAM CO. JAIL,NA,NA
CLALLAM COUNTY JAIL,NA,NA
CLARK COUNTY JAIL,NA,NA
CLARK COUNTY JUVENILE,NA,NA
CLATSOP COUNTY JAIL,NA,NA
COFFEE CREEK CORRECTIONAL,NA,NA
COFFEE CREEK CORRECTIONAL FACILITY (CCCF) & STATE INTAKE,NA,NA
COLOMBIA COUNTY JAIL,NA,NA
COLUMBIA COUNTY JAIL,NA,NA
"COLUMBIA COUNTY JAIL, WA",NA,NA
COLUMBIA RIVER CORRECTIONAL INSTITUTION (CRCI),NA,NA
COOK INLET PRETRIAL FACILITY,NA,NA
COOS COUNTY JAIL,NA,NA
COWLITZ COUNTY JAIL,NA,NA
COWLITZ COUNTY JUVENILE FACILITY,NA,NA
COYOTE RIDGE CORRECTIONS,NA,NA
CROOK COUNTY JAIL,NA,NA
CURRY COUNTY JAIL,NA,NA
DEER RIDGE CORRECTIONAL (DRCI),NA,NA
DENNY JUVENILE CENTER,NA,NA
DES MOINES CITY PD,NA,NA
DESCHUTES COUNTY JAIL,NA,NA
"DESCHUTES COUNTY JAIL, BEND, OREGON",NA,NA
DO NOT USE,NA,NA
DOUGLAS COUNTY JAIL,NA,NA
EASTERN OREGON CORRECTIONAL INSTITUTION (EOCI),NA,NA
EASTERN OREGON YOUTH CORRECTIONS FACILITY,NA,NA
ECHO GLEN CHILDREN'S CENTER,NA,NA
"ELP GENERAL AREA, NON-SPECIFIC",NA,NA
"EUG GENERAL AREA, NON-SPECIFIC",NA,NA
EUGENE CAP,NA,NA
EUGENE FEDERAL COURTHOUSE,NA,NA
EUGENE NON-DETAINED DOCKET,NA,NA
EUGENE VCAS,NA,NA
EUMCLAW CITY JAIL,NA,NA
FAIRBANKS CORRECTIONAL CENTER,NA,NA
FCI LA TUNA,NA,NA
FEDERAL DETENION CENTER (FDC),NA,NA
FEDERAL DETENTION CENTER (FDC),NA,NA
FERRY CO. JAIL,NA,NA
FIFE CITY JAIL,NA,NA
FORKS CORRECTIONS,NA,NA
FRANKLIN CO. JAIL,NA,NA
FRANKLIN COUNTY JAIL,NA,NA
FUGITIVE OPERATIONS CA STATE,NA,NA
FUGOPS STREET ARREST,NA,NA
GARFIELD CO. JAIL,NA,NA
GEIGER CORRECTIONS CENTER,NA,NA
GOOSE CREEK CORRECTIONAL CENTER,NA,NA
GRANDVIEW CITY JAIL,NA,NA
"GRANT CO. JAIL, WA",NA,NA
GRANT CO. SHERIFF,NA,NA
GRANT COUNTY JAIL,NA,NA
GRAY'S HARBOR COUNTY JAIL,NA,NA
GREEN HILL SCHOOL,NA,NA
HARNEY COUNTY JAIL,NA,NA
HERLONG FCI,NA,NA
"HID GENERAL AREA, NON-SPECIFIC",NA,NA
HIGH DESERT STATE PRISON (NDOC),NA,NA
HILAND MOUNTAIN CORRECTIONAL CENTER,NA,NA
HILLCREST YOUTH CORRECTIONS FACILITY,NA,NA
HLG DISTRICT OFFICE,NA,NA
ISLAND COUNTY SHERIFF,NA,NA
ISSAQUAH CITY JAIL,NA,NA
JACKSON COUNTY JAIL,NA,NA
JACKSON COUNTY JUVENILE FACILITY,NA,NA
"JACKSON, GA",NA,NA
JEFFERSON CO. JAIL,NA,NA
JEFFERSON COUNTY JAIL,NA,NA
"JNA GENERAL AREA, NON-SPECIFIC",NA,NA
JOSEPHINE COUNTY JAIL,NA,NA
"KAN GENERAL AREA, NON-SPECIFIC",NA,NA
KANSAS CITY DETENTION AND REMOVAL OPERATIONS OFFICE,NA,NA
KENT CITY JAIL,NA,NA
"KENT COUNTY JAIL, GRAND RAPIDS, MI",NA,NA
KETCHIKAN CORRECTIONAL CENTER,NA,NA
KING CO.JAIL,NA,NA
KING COUNTY JAIL,NA,NA
KING COUNTY JUVENILE,NA,NA
KING SALMON JAIL,NA,NA
KIRKLAND CITY PD,NA,NA
KITSAP COUNTY JAIL,NA,NA
KITSAP COUNTY JUVENILE DETENTION,NA,NA
KITTITAS CO. JAIL,NA,NA
KLAMATH COUNTY JAIL,NA,NA
"KLAMATH COUNTY JAIL, KLAMATH FALLS, OREGON",NA,NA
KLICKITAT CO. JAIL,NA,NA
KODIAK CITY JAIL,NA,NA
KOOTENAI CO. JAIL,NA,NA
LAKE COUNTY JAIL,NA,NA
LANE COUNTY JAIL,NA,NA
LASALLE DETENTION FACILITY (JENA),NA,NA
LATAH CO. JAIL,NA,NA
LEAR - CIS REFERAL,NA,NA
LEMON CREEEK CORRECTIONAL CENTER,NA,NA
LEWIS CO. JAIL,NA,NA
LEWIS COUNTY JAIL,NA,NA
LINCOLN COUNTY JAIL,NA,NA
LINN COUNTY JAIL,NA,NA
"LOS ANGELES COUNTY GENERAL AREA, NON-SPECIFIC",NA,NA
"LOS ANGELES COUNTY JAIL, LOS ANGELES, CA",NA,NA
LYNNWOOD CITY JAIL,NA,NA
MACLAREN YOUTH CORRECTIONS FACILITY,NA,NA
MARION COUNTY JAIL,NA,NA
MARION COUNTY JUVENILE FACILITY,NA,NA
MARYSVILLE CITY JAIL,NA,NA
MASON COUNTY JAIL,NA,NA
MASON COUNTY JUVENILE DETENTION,NA,NA
MAT-SU PRETRIAL,NA,NA
"MED GENERAL AREA, NON-SPECIFIC",NA,NA
MEDFORD CAP,NA,NA
MEDFORD FUG OPS,NA,NA
MEDFORD NON-DETAINED DOCKET,NA,NA
MEDFORD VCAS,NA,NA
MILL CREEK CORRECTIONAL FACILITY (MCCF),NA,NA
MINI-CASSIA COUNTY CRIMINAL JUSTICE CENTER ID,NA,NA
MONROE INTENSIVE MANAGEMENT UNIT (IMU),NA,NA
MONROE MINIMUM SECURITY,NA,NA
MONROE MINIMUM SECURITY UNIT (MSU),NA,NA
MONROE SPECIAL OFFENDER UNIT,NA,NA
MONROE SPECIAL OFFENDERS UNIT (SOU),NA,NA
MONROE TWIN RIVERS UNIT (TRU),NA,NA
MONROE WASHINGTON STATE REFORMATORY (WSR),NA,NA
MULTNOMAH COUNTY JAILS (INVERNESS & MCDC),NA,NA
"NASELLE YOUTH CAMP",NA,NA
NDU STREET ARREST,NA,NA
NEAH BAY,NA,NA
NEZ PERCE COUNTY JAIL,NA,NA
NISQUALLY CITY JAIL,NA,NA
"NOG GENERAL AREA, NON-SPECIFIC",NA,NA
NORCOR (NORTHERN OREGON CORRECTION),NA,NA
NORCOR (NORTHERN OREGON CORRECTIONS),NA,NA
NORCOR JUVENILE FACILITY,NA,NA
NORTH COAST YOUTH CORRECTIONS FACILITY,NA,NA
NORTHWEST DETENTION CENTER DETAINED DOCKET,NA,NA
NORTHWEST DETENTION CENTER TACOMA,NA,NA
NORWAY POLICE DEPARTMENT,NA,NA
OAK HARBOR CITY JAIL,NA,NA
OKANAGAN CO. JAIL,NA,NA
OLYMPIA CITY JAIL,NA,NA
OLYMPIC CORRECTIONS CENTER,NA,NA
OREGON DEPARTMENT OF CORRECTIONS,NA,NA
OREGON STATE CORRECTIONAL INSTITUTION (OSCI),NA,NA
OREGON STATE PENITENTIARY (OSP),NA,NA
